returns,volatilities,L(t)
-36,36,0.022986857896670227
12,12,0.022324529439485073
-24,24,0.022724917697063512
-5,5,0.029788823101433572
40,40,0.028695876974657107
6,6,0.04381268256316073
53,53,0.042995272211071925
3,3,0.043607572210417785
-7,7,0.0426180392306224
5,5,0.058619408706759975
55,55,0.05835620408913765
-22,22,0.052653202706767294
