Security,SPX Index,
Start Date,12/30/27 0:00,
End Date,4/4/24 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
2023-04-25,4071.63,652256285
2023-04-24,4137.04,546190361
2023-04-21,4133.52,673695731
2023-04-20,4129.79,650426296
2023-04-19,4154.52,544963738
2023-04-18,4154.87,557170578
2023-04-17,4151.32,570112694
2023-04-14,4137.64,565824739
2023-04-13,4146.22,623387846
2023-04-12,4091.95,590457622
2023-04-11,4108.94,538398239
2023-04-10,4109.11,530133222
2023-04-06,4105.02,567174261
2023-04-05,4090.38,648894831
2023-04-04,4100.6,623143201
2023-04-03,4124.51,656322603
2023-03-31,4109.31,805421222
2023-03-30,4050.83,535941328
2023-03-29,4027.81,626882401
2023-03-28,3971.27,510304653
2023-03-27,3977.53,640358337
2023-03-24,3970.99,686692170
2023-03-23,3948.72,761870844
2023-03-22,3936.97,692852985
2023-03-21,4002.87,815755012
2023-03-20,3951.57,809318155
2023-03-17,3916.64,2635067540
2023-03-16,3960.28,933059347
2023-03-15,3891.93,999772376
2023-03-14,3919.29,935067941
2023-03-13,3855.76,1009987819
2023-03-10,3861.59,833959877
2023-03-09,3918.32,687977276
2023-03-08,3992.01,539008248
2023-03-07,3986.37,621492593
2023-03-06,4048.42,612740212
2023-03-03,4045.64,618166137
2023-03-02,3981.35,610373912
2023-03-01,3951.39,605989833
2023-02-28,3970.15,976126672
2023-02-27,3982.24,553023498
2023-02-24,3970.04,603607841
2023-02-23,4012.32,619624415
2023-02-22,3991.05,618373661
2023-02-21,3997.34,681820082
2023-02-17,4079.09,672640488
2023-02-16,4090.41,604958840
2023-02-15,4147.6,560590364
2023-02-14,4136.13,596475366
2023-02-13,4137.29,601223890
2023-02-10,4090.46,615231190
2023-02-09,4081.5,689749135
2023-02-08,4117.86,651034169
2023-02-07,4164,675865264
2023-02-06,4111.08,590026670
2023-02-03,4136.48,735516487
2023-02-02,4179.76,845209740
2023-02-01,4119.21,791134659
2023-01-31,4076.6,949382016
2023-01-30,4017.77,591870717
2023-01-27,4070.56,627301536
2023-01-26,4060.43,609400783
2023-01-25,4016.22,612496177
2023-01-24,4016.95,485960316
2023-01-23,4019.81,615965463
2023-01-20,3972.61,831430861
2023-01-19,3898.85,661096852
2023-01-18,3928.86,673911697
2023-01-17,3990.97,678250927
