returns,volatilities,L(t)
-50,50,0.039685441106573585
-12,12,0.035046057573586684
-34,34,0.0321432112230784
-31,31,0.031019683532384816
20,20,0.03947090826675673
41,41,0.03251600316559658
-38,38,0.03416356379289786
-16,16,0.028667761496314077
-36,36,0.027711206871780938
-27,27,0.03969552621380797
46,46,0.05123584472073336
46,46,0.060175321410956675
43,43,0.058587130979820094
7,7,0.05766092845952713
-27,27,0.058598285012738255
28,28,0.058684230516771935
-24,24,0.05681006426560393
12,12,0.05553221665995557
5,5,0.054105896495993934
18,18,0.05668210228156363
32,32,0.05492139126411904
12,12,0.0532443931060498
10,10,0.052289886941247074
4,4,0.05072770162488161
9,9,0.04699606592524059
-33,33,0.04431341821100942
-31,31,0.04266092237979408
14,14,0.04434438874430555
-13,13,0.042938894477549644
-28,28,0.03935410066404881
-33,33,0.03980255952883907
26,26,0.03821646494096223
9,9,0.01932239486876902
-54,54,0.03655812875312694
54,54,0.02878659227406308
-41,41,0.027177281152268144
10,10,0.025655513085851213
-29,29,0.024091128631154025
15,15,0.023340491394393273
3,3,0.02177555081622551
14,14,0.015435714155894979
-39,39,0.01758119135443071
31,31,0.018865518380446523
-7,7,0.01914814122230953
-23,23,0.019182929280570207
-24,24,0.018616553278915572
2,2,0.019084538105933604
26,26,0.026126694607315315
41,41,0.027600382927122136
-10,10,0.020215637275236724
-41,41,0.02229994171353207
31,31,0.02378833625154169
-11,11,0.03507021988968994
48,48,0.030605919312841335
-36,36,0.03129264974754418
-21,21,0.02999379687037033
17,17,0.030946151589400037
28,28,0.032892993611817814
31,31,0.031850614712168566
19,19,0.030516220119085335
16,16,0.03074992172302145
-1,1,0.033458889109230866
33,33,0.032939875852946894
22,22,0.023278782813245306
-45,45,0.002003524796828242
-60,60,0.0006261652964508646
14,14,-0.00033721447488222584
-28,28,-0.017866464954210907
-57,57,-0.01896431979717249
18,18,-0.010879916592650486
44,44,-0.009543025201420252
-16,16,0.0008231061665470478
48,48,0.0019322787208322406
29,29,0.0033966178135486284
-11,11,0.0033252963655594375
-25,25,0.003689564668140955
-23,23,0.011304049666544564
44,44,-0.027893409185938755
-80,80,-0.029758073482786314
-32,32,-0.04276095543534668
-54,54,-0.036447090991971055
42,42,-0.037750479487671434
13,13,-0.03889074435570757
17,17,-0.03985061070718557
7,7,-0.030882884450643057
47,47,-0.031818460749781834
7,7,-0.03040782616451319
-12,12,-0.031042321918710144
-28,28,-0.027670589176947438
36,36,-0.02765784190224728
25,25,-0.012498518869390058
57,57,-0.013116542446707884
-28,28,-0.014136775123628266
18,18,-0.012890547170220966
-8,8,-0.014061861020021457
-30,30,-0.0175837105815116
-37,37,-0.01731689771897894
-24,24,0.0026032535216655205
64,64,0.0013798897242807842
12,12,0.002543774599713905
-8,8,0.001987379374203595
22,22,0.0009075684856179974
