"DT","ts","rt","Rt","Rt_abs"
2008-04-21,20180,-0.151640748634582,-0.00155479606631653,0.00155479606631653
2008-04-22,20181,-0.769140784413042,-0.00884919906163608,0.00884919906163608
2008-04-23,20182,0.225106193052918,0.00289563933561553,0.00289563933561553
2008-04-24,20183,0.523600525587298,0.0064216924970211,0.0064216924970211
2008-04-25,20184,0.528005054563524,0.00647372230673058,0.00647372230673058
2008-04-28,20185,-0.109091961009458,-0.00105217584620813,0.00105217584620813
2008-04-29,20186,-0.34985277448349,-0.00389623462710611,0.00389623462710611
2008-04-30,20187,-0.346255086381481,-0.00385373586541059,0.00385373586541059
2008-05-01,20188,1.41871240081855,0.016995467987741,0.016995467987741
2008-05-02,20189,0.253439411923234,0.0032303339179958,0.0032303339179958
2008-05-05,20190,-0.404677448104007,-0.00454386740492572,0.00454386740492572
